City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,soderhamn,61.3037,17.0592,12.2,58,0,2.62,SE,1684557821
84,dera ghazi khan,30.0561,70.6348,39.59,10,5,4.09,PK,1684557822
85,murzuq,25.9155,13.9184,29.06,26,100,3.31,LY,1684557822
86,margaret river,-33.95,115.0667,20.05,32,0,1.12,AU,1684557822
87,tanumah,27.1,44.1333,31.69,16,0,5.6,SA,1684557822
88,longyearbyen,78.2186,15.6401,-0.09,64,75,4.12,SJ,1684557822
89,port elizabeth,-33.918,25.5701,10.73,95,0,2.06,ZA,1684557822
90,valparaiso,-33.0393,-71.6273,10.8,87,0,1.54,CL,1684557822
91,punta arenas,-53.15,-70.9167,4.06,75,75,5.14,CL,1684557822
92,nemuro,43.3236,145.575,6.87,87,39,4.08,JP,1684557822
93,gazipasa,36.2694,32.3179,16.05,88,40,2.06,TR,1684557823
94,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1684557823
95,ushuaia,-54.8,-68.3,2.81,81,40,1.54,AR,1684557685
96,hadibu,12.65,54.0333,30.1,68,22,1.83,YE,1684557823
97,seabra,-12.4186,-41.7703,17.56,90,38,2.21,BR,1684557823
98,ishigaki,24.3448,124.1572,27.07,74,40,4.63,JP,1684557717
99,kpandu,6.9954,0.2931,24.62,92,100,2.36,GH,1684557823
100,hithadhoo,-0.6,73.0833,28.17,74,37,2.87,MV,1684557823
101,mutsu,41.2894,141.2169,14.59,69,34,5.69,JP,1684557824
102,isafjordur,66.0755,-23.124,4.05,88,58,17.01,IS,1684557824
103,papatowai,-46.5619,169.4708,9.74,92,100,7.02,NZ,1684557824
104,labytnangi,66.6572,66.4183,8.39,65,99,2.94,RU,1684557824
105,laguna,38.421,-121.4238,23.0,63,0,3.09,US,1684557824
106,contamana,-7.3333,-75.0167,23.96,94,82,0.88,PE,1684557824
107,keflavik,64.0049,-22.5624,6.95,75,75,14.92,IS,1684557824
108,grand falls-windsor,48.9332,-55.6649,5.84,70,92,6.6,CA,1684557636
109,san antonio de pale,-1.4014,5.6325,26.84,76,100,6.6,GQ,1684557825
110,aasiaat,68.7098,-52.8699,-0.78,97,100,8.6,GL,1684557825
111,hashtrud,37.4779,47.0508,16.44,56,86,1.02,IR,1684557825
112,san mariano,7.5,126.0,29.22,75,91,1.74,PH,1684557825
113,esperanza,19.5847,-70.9849,24.32,90,99,0.89,DO,1684557825
114,yanggu,36.1106,115.7753,31.82,41,33,3.95,CN,1684557825
115,coahuayana de hidalgo,18.7,-103.6583,25.67,80,100,1.6,MX,1684557825
116,east london,-33.0153,27.9116,12.55,68,46,2.54,ZA,1684557825
117,constantia,44.1833,28.65,17.61,76,96,7.47,RO,1684557826
118,ribeira grande,38.5167,-28.7,17.1,80,48,3.58,PT,1684557826
119,chibougamau,49.9168,-74.3659,5.79,100,100,1.54,CA,1684557826
120,kuqa,41.7278,82.9364,23.41,30,100,4.34,CN,1684557826
121,syumsi,57.1111,51.6149,14.58,59,97,2.9,RU,1684557826
122,kingston,17.997,-76.7936,27.53,89,20,3.09,JM,1684557717
123,jamestown,42.097,-79.2353,19.77,77,75,2.57,US,1684557826
124,pontianak,-0.0333,109.3333,31.66,62,40,3.09,ID,1684557690
